epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.732,1.50666,2.57629,1.53055,0.55406,0.0597,0.18718,0.09041,1.56553,2.93519,1.48664,0.000651852,0.000651852,0.000651852
2,625.823,1.52875,2.0734,1.53717,0.30071,0.38308,0.26586,0.12675,1.72506,2.44761,1.70883,0.00118799,0.00118799,0.00118799
3,931.181,1.53985,1.94311,1.55857,0.35989,0.42786,0.33287,0.14724,1.75957,2.96222,1.78548,0.00159212,0.00159212,0.00159212
4,1235.86,1.50078,1.74865,1.51434,0.47854,0.56716,0.47894,0.24045,1.67117,2.29311,1.6803,0.001406,0.001406,0.001406
5,1539.93,1.46353,1.63888,1.50183,0.61679,0.44843,0.50241,0.2374,1.75028,1.92963,1.70713,0.001208,0.001208,0.001208
6,1842.95,1.44844,1.51209,1.46511,0.61787,0.61943,0.60618,0.34155,1.52982,1.64435,1.4744,0.00101,0.00101,0.00101
7,2146.2,1.36394,1.37789,1.39417,0.57857,0.58739,0.59356,0.31372,1.54138,1.68661,1.51844,0.000812,0.000812,0.000812
8,2449.62,1.30056,1.24548,1.34545,0.67567,0.68406,0.67535,0.3624,1.5199,1.41604,1.47644,0.000614,0.000614,0.000614
9,2756.53,1.24518,1.15497,1.30376,0.69332,0.60736,0.65933,0.36593,1.46114,1.48512,1.48068,0.000416,0.000416,0.000416
10,3060.12,1.19205,1.07763,1.26639,0.73212,0.70647,0.72541,0.42431,1.42097,1.26817,1.39743,0.000218,0.000218,0.000218
