epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.729,1.59535,2.71542,1.5883,0.32952,0.4768,0.29532,0.13404,1.60656,3.46556,1.62781,0.000651852,0.000651852,0.000651852
2,1439.49,1.64714,1.78784,1.63754,0.16319,0.22886,0.09519,0.03368,2.33187,4.47091,2.41677,0.00118799,0.00118799,0.00118799
3,2125.73,1.70375,1.72646,1.64866,0.42342,0.44776,0.33585,0.14823,1.95202,4.58545,1.81537,0.00159212,0.00159212,0.00159212
4,2812.07,1.69412,1.68442,1.67395,0.3178,0.31984,0.22201,0.10438,2.03707,2.79272,2.04433,0.001406,0.001406,0.001406
5,3498.75,1.62114,1.57175,1.61595,0.49809,0.41474,0.41201,0.18666,1.8451,2.195,1.77268,0.001208,0.001208,0.001208
6,4187.62,1.54969,1.45273,1.55424,0.51748,0.53731,0.5208,0.24057,1.73229,1.78043,1.65106,0.00101,0.00101,0.00101
7,4936.4,1.44184,1.28103,1.45361,0.5926,0.54229,0.56058,0.28655,1.66497,1.5616,1.5556,0.000812,0.000812,0.000812
8,5698.88,1.36141,1.16174,1.39809,0.63749,0.57744,0.62122,0.32137,1.59373,1.45149,1.4967,0.000614,0.000614,0.000614
9,6569.53,1.32314,1.08539,1.37476,0.61956,0.60767,0.63268,0.3463,1.54073,1.40153,1.48271,0.000416,0.000416,0.000416
10,7310.98,1.24855,1.02708,1.32846,0.68351,0.58706,0.69041,0.39217,1.46772,1.27147,1.44007,0.000218,0.000218,0.000218
